Player_ID,Nome,Nome completo,Posição,Overall,Similaridade
232293,V. Osimhen,Victor James Osimhen,Atacante,88,0.9750489558128499
196978,C. Wilson,Callum Wilson,Atacante,82,0.9740792064376138
192387,C. Immobile,Ciro Immobile,Atacante,85,0.9730442812578143
204529,M. Batshuayi,Michy Batshuayi Tunga,Atacante,77,0.9594310304894861
216816,G. Simeone,Giovanni Pablo Simeone,Atacante,78,0.9540279734737881
222357,B. Embolo,Breel-Donald Embolo,Atacante,78,0.9536342786628202
188545,R. Lewandowski,Robert Lewandowski,Atacante,90,0.9528582696424962
247463,F. Balogun,Folarin Balogun,Atacante,79,0.9523471118110881
231478,L. Martínez,Lautaro Javier Martínez,Atacante,87,0.951272393623058
246242,B. Dia,Boulaye Dia,"Atacante, Extremo",82,0.9492404593108904
236786,M. Terrier,Martin Terrier,"Atacante, Meio campo",81,0.9439093059551158
246430,D. Vlahović,Dušan Vlahović,Atacante,83,0.9422218475505237
251892,Beto,Norberto Bercique Gomes Betuncal,Atacante,81,0.9407386812942047
201153,Morata,Álvaro Borja Morata Martín,Atacante,83,0.9407087645554872
245152,S. Giménez,Santiago Tomás Giménez,Atacante,78,0.9402997194456616
246186,Arthur Cabral,Arthur Mendonça Cabral,Atacante,80,0.9401549601548035
256612,Evanilson,Francisco Evanilson de Lima Barbosa,Atacante,78,0.9371802800598645
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Atacante,86,0.9363162998814163
208093,Gerard Moreno,Gerard Moreno Balagueró,"Atacante, Meio campo",83,0.9356173561780705
230430,Oswaldinato,Marvin Oswaldo Rangel Azevedo,Atacante,81,0.9355226347097679
223197,E. Ünal,Enes Ünal,Atacante,82,0.9347316202205649
253072,D. Núñez,Darwin Gabriel Núñez Ribeiro,"Atacante, Extremo",82,0.9331090122145178
234236,P. Schick,Patrik Schick,Atacante,83,0.9312543790624447
226093,C. Adams,Ché Adams,Atacante,75,0.9296370550821553
237321,M. Berisha,Mërgim Berisha,Atacante,78,0.9291144937428831
233731,A. Isak,Alexander Isak,"Atacante, Extremo",81,0.9276647775687943
245158,L. Suárez,Luis Javier Suárez Charris,"Atacante, Meio campo",75,0.9244436215241861
216201,Iñaki Williams,Iñaki Williams Arthuer,"Atacante, Meio campo",81,0.9243284112863343
231677,M. Rashford,Marcus Rashford,"Atacante, Extremo, Meio campo",85,0.9240561553446676
231943,Richarlison,Richarlison de Andrade,"Atacante, Extremo",80,0.9232376242994629
204506,M. van Buren,Mick van Buren,"Atacante, Extremo",73,0.923049229590605
243630,J. David,Jonathan Christian David,Atacante,81,0.9229740244616802
220018,A. Rebić,Ante Rebić,"Atacante, Extremo, Meio campo",77,0.9225838007591911
244390,M. Bülter,Marius Bülter,"Atacante, Meio campo",75,0.9216229883601674
215333,D. Zapata,Duván Esteban Zapata Banguera,Atacante,81,0.9212883863545498
165153,K. Benzema,Karim Benzema,Atacante,90,0.9195372983885011
231747,K. Mbappé,Kylian Mbappé Lottin,"Atacante, Extremo",91,0.9195154101540969
202126,H. Kane,Harry Kane,Atacante,90,0.9194537916812512
208596,A. Belotti,Andrea Belotti,Atacante,78,0.9149640596551254
219686,Carlos Júnior,Carlos Alberto Carvalho da Silva Júnior,"Atacante, Extremo",76,0.9146230748078997
263829,Vitinha,Vítor Manuel Carvalho Oliveira,Atacante,76,0.914241663436167
213418,C. Akpom,Chuba Akpom,"Atacante, Meio campo",76,0.9140844750040746
239250,Abel Ruiz,Abel Ruiz Ortega,Atacante,76,0.913500242301302
228520,E. Ávila,Luis Ezequiel Ávila,"Atacante, Meio campo",80,0.9121729693050812
243580,L. Openda,Ikoma Loïs Openda,Atacante,82,0.9120259257157742
