Player_ID,Nome,Nome completo,Posição,Overall,Similaridade
241788,M. Taremi,Mehdi Taremi,Atacante,82,0.9892951355253908
235790,K. Havertz,Kai Lukas Havertz,"Atacante, Extremo, Meio campo",82,0.9782721071191963
228941,André Silva,André Miguel Valente da Silva,Atacante,80,0.978141700020276
201153,Morata,Álvaro Borja Morata Martín,Atacante,83,0.9745671106398357
234236,P. Schick,Patrik Schick,Atacante,83,0.9711356590342409
188545,R. Lewandowski,Robert Lewandowski,Atacante,90,0.970397401560374
208093,Gerard Moreno,Gerard Moreno Balagueró,"Atacante, Meio campo",83,0.9678569886209486
213955,S. Azmoun,Sardar Azmoun,"Atacante, Meio campo",78,0.9662782474618279
208722,S. Mané,Sadio Mané,"Atacante, Meio campo",86,0.9642804709482019
205976,Léo Baptistão,Leonardo Carrilho Baptistão,"Atacante, Meio campo",75,0.9611328849530306
246618,A. Hložek,Adam Hložek,"Atacante, Meio campo",77,0.9597177992018606
242516,C. Gakpo,Cody Mathès Gakpo,"Atacante, Extremo",83,0.9583324075445785
216354,A. Kramarić,Andrej Kramarić,"Atacante, Meio campo",81,0.9559941772240275
194765,A. Griezmann,Antoine Griezmann,Atacante,88,0.9558257746086843
233731,A. Isak,Alexander Isak,"Atacante, Extremo",81,0.9547421755282595
231943,Richarlison,Richarlison de Andrade,"Atacante, Extremo",80,0.9546806094201473
220018,A. Rebić,Ante Rebić,"Atacante, Extremo, Meio campo",77,0.953313626170352
202126,H. Kane,Harry Kane,Atacante,90,0.9525023296779989
231478,L. Martínez,Lautaro Javier Martínez,Atacante,87,0.9519752509725554
236786,M. Terrier,Martin Terrier,"Atacante, Meio campo",81,0.9509303909318074
186200,F. Borini,Fabio Borini,"Atacante, Extremo, Meio campo",77,0.9455044493562806
184200,M. Arnautović,Marko Arnautović,Atacante,80,0.9450028180312001
176600,K. Gameiro,Kévin Gameiro,Atacante,76,0.9448169565424794
196978,C. Wilson,Callum Wilson,Atacante,82,0.9436552249800266
232432,L. Jović,Luka Jović,Atacante,77,0.9428298739989149
240753,A. Gouiri,Amine Gouiri,"Atacante, Extremo, Meio campo",79,0.9425997484970666
251470,C. De Ketelaere,Charles De Ketelaere,"Atacante, Meio campo",76,0.9418521417992718
244675,Sancet,Oihan Sancet Tirapu,"Atacante, Meio campo",81,0.9418412097069776
237321,M. Berisha,Mërgim Berisha,Atacante,78,0.9417364904491194
234147,Dany Mota,Dany Mota Carvalho,Atacante,74,0.9414011073130755
193301,A. Lacazette,Alexandre Lacazette,Atacante,83,0.9406997476586301
190059,S. Zuber,Steven Zuber,"Atacante, Meio campo",76,0.9403297337064723
230430,Oswaldinato,Marvin Oswaldo Rangel Azevedo,Atacante,81,0.9401951094657577
223273,M. Pašalić,Mario Pašalić,"Atacante, Meio campo",80,0.9399206787816581
241461,Ferran Torres,Ferran Torres García,"Atacante, Extremo",82,0.9396430349391354
206467,A. Plea,Alassane Alexandre Pléa,"Atacante, Meio campo",77,0.9394772183780002
223197,E. Ünal,Enes Ünal,Atacante,82,0.9384263504623196
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Atacante,86,0.9375676373515498
236791,A. Barák,Antonín Barák,"Atacante, Meio campo",78,0.9350419100323013
212523,Anderson Talisca,Anderson Souza Conceição,"Atacante, Meio campo",81,0.9346817992688317
224458,Diogo Jota,Diogo José Teixeira da Silva,"Atacante, Extremo",85,0.934582472017671
245152,S. Giménez,Santiago Tomás Giménez,Atacante,78,0.9340380099549213
246430,D. Vlahović,Dušan Vlahović,Atacante,83,0.9336999618473817
221168,D. Kownacki,Dawid Igor Kownacki,"Atacante, Meio campo",73,0.933354279423564
265800,Jutglà,Ferran Jutglà Blanch,Atacante,75,0.9331966807198396
224411,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,"Atacante, Meio campo",79,0.9330975479459803
185422,J. King,Joshua Christian Kojo King,"Atacante, Extremo",75,0.9317534633515719
242444,João Félix,João Félix Sequeira,"Atacante, Extremo",81,0.9313516924743762
238900,E. Demirović,Ermedin Demirović,"Atacante, Meio campo",75,0.9303035226362291
201399,M. Icardi,Mauro Emanuel Icardi Rivero,Atacante,80,0.9300086614251712
239250,Abel Ruiz,Abel Ruiz Ortega,Atacante,76,0.927454540660498
199434,D. Tadić,Dušan Tadić,"Atacante, Extremo",82,0.9273279396963479
209519,G. Laborde,Gaëtan Laborde,Atacante,81,0.9272417928313076
197891,Juanmi,Juan Miguel Jiménez López,"Atacante, Meio campo",79,0.9263550575560204
237712,V. Castellanos,Valentín Mariano José Castellanos Giménez,Atacante,79,0.9260942893981476
199069,V. Aboubakar,Vincent Paté Aboubakar,Atacante,79,0.925775671851462
214997,Á. Correa,Ángel Martín Correa,"Atacante, Meio campo",82,0.9255984362711026
192629,Iago Aspas,Iago Aspas Juncal,Atacante,85,0.9249228325604624
231969,R. Malinovskyi,Ruslan Malinovskyi,"Atacante, Meio campo",78,0.9240456240335506
225719,K. Iheanacho,Kelechi Promise Iheanacho,Atacante,76,0.9234773750862356
202556,M. Depay,Memphis Depay,"Atacante, Extremo",84,0.9230415482474268
210315,Raúl de Tomás,Raúl De Tomás Gómez,Atacante,79,0.9228466780530898
231677,M. Rashford,Marcus Rashford,"Atacante, Extremo, Meio campo",85,0.9226784931349653
231747,K. Mbappé,Kylian Mbappé Lottin,"Atacante, Extremo",91,0.9225634483374789
256612,Evanilson,Francisco Evanilson de Lima Barbosa,Atacante,78,0.9223400984813477
231184,Guruzeta,Gorka Guruzeta Rodríguez,Atacante,77,0.9218826435613745
216475,Morales,José Luis Morales Nogales,"Atacante, Meio campo",79,0.921308047313152
239043,U. Bozok,Umut Dilan Bozok,Atacante,73,0.9212897304604104
192387,C. Immobile,Ciro Immobile,Atacante,85,0.920189686925519
204838,R. Jiménez,Raúl Alonso Jiménez Rodríguez,Atacante,76,0.9200183343111807
239085,E. Haaland,Erling Braut Haaland,Atacante,91,0.9195372983885011
199451,W. Ben Yedder,Wissam Ben Yedder,Atacante,83,0.9190485026398637
236276,A. Danjuma,Arnaut Danjuma Adam Groeneveld,"Atacante, Meio campo",81,0.9190323786505914
230666,Gabriel Jesus,Gabriel Fernando de Jesus,"Atacante, Extremo",84,0.9188348841205581
232293,V. Osimhen,Victor James Osimhen,Atacante,88,0.9182974465810164
217007,M. Thiam,Mame Baba Thiam,"Atacante, Meio campo",72,0.916190479919775
217998,C. Arango,Cristian Daniel Arango Duque,"Atacante, Meio campo",76,0.9153935544966951
241095,N. Vlašić,Nikola Vlašić,"Atacante, Meio campo",78,0.9153060511189232
232411,C. Nkunku,Christopher Nkunku,"Atacante, Meio campo",86,0.9143715469870963
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,Atacante,82,0.9131798101983528
237679,R. Kolo Muani,Randal Kolo Muani,"Atacante, Meio campo",84,0.9125856528608348
230899,A. Lookman,Ademola Lookman,"Atacante, Extremo, Meio campo",81,0.9116569439426074
242448,André Silva,André Oliveira Silva,"Atacante, Extremo",73,0.9113487049628574
246191,J. Álvarez,Julián Álvarez,"Atacante, Meio campo",80,0.911268814391936
230084,L. Nmecha,Lukas Nmecha,Atacante,77,0.9106594584642195
197031,M. Ducksch,Marvin Ducksch,Atacante,77,0.909271839422491
252037,Fábio Silva,Fábio Daniel Soares Silva,Atacante,73,0.9087833363539699
240243,Matheus Cunha,Matheus Santos Carneiro Da Cunha,"Atacante, Meio campo",78,0.9084723833666645
257289,H. Ekitike,Hugo Ekitike,Atacante,75,0.9084015834027848
243630,J. David,Jonathan Christian David,Atacante,81,0.9083933127992546
230384,Nailton Suzuki,Nailton Suzuki Ito,"Atacante, Meio campo",81,0.9083688736032194
200610,K. Volland,Kevin Volland,"Atacante, Meio campo",79,0.9082461262988083
228251,L. Pellegrini,Lorenzo Pellegrini,"Atacante, Meio campo",83,0.9081231585767547
193290,M. Braithwaite,Martin Braithwaite Christensen,"Atacante, Meio campo",77,0.9079308898964094
230498,Luimo Boas Santos,Luan Vágner Boas Macedo,Atacante,79,0.9073625030312684
205175,A. Milik,Arkadiusz Krystian Milik,Atacante,81,0.9071822145005561
198715,Sergio León,Sergio León Limones,Atacante,73,0.9070588831615781
216816,G. Simeone,Giovanni Pablo Simeone,Atacante,78,0.9063456559441287
215247,M. Ingvartsen,Marcus Ingvartsen,"Atacante, Meio campo",75,0.9058451608404653
198331,M. Vydra,Matěj Vydra,Atacante,72,0.9048335441076045
