Player_ID,Nome,Nome completo,Posição,Overall,Similaridade
251566,Gabriel Martinelli,Gabriel Teodoro Martinelli Silva,"Extremo, Meio campo",84,0.9846833924569836
233419,Raphinha,Raphael Dias Belloli,Extremo,84,0.9785831143926041
245367,X. Simons,Xavi Quentin Shay Simons,"Extremo, Meio campo",79,0.963732060573141
201995,Felipe Anderson,Felipe Anderson Pereira Gomes,"Atacante, Extremo",81,0.9635792483572558
241084,L. Díaz,Luis Fernando Díaz Marulanda,"Extremo, Meio campo",84,0.9622443813463467
220502,M. Zaccagni,Mattia Zaccagni,Extremo,82,0.9612149732328942
235805,F. Chiesa,Federico Chiesa,"Extremo, Meio campo",84,0.9551373564565288
208418,Y. Carrasco,Yannick Ferreira Carrasco,"Ala, Extremo",84,0.9522201128401123
230977,M. Almirón,Miguel Ángel Almirón Rejala,"Extremo, Meio campo",81,0.9522036223121145
230666,Gabriel Jesus,Gabriel Fernando de Jesus,"Atacante, Extremo",84,0.9511368847552031
209331,M. Salah,Mohamed Salah Ghaly,Extremo,89,0.9494854557042102
246669,B. Saka,Bukayo Saka,"Extremo, Meio campo",86,0.9493109822968082
240690,N. González,Nicolás Iván González,Extremo,81,0.9483610346393471
198717,W. Zaha,Wilfried Zaha,"Atacante, Extremo, Meio campo",81,0.9479203953324307
243812,Rodrygo,Rodrygo Silva de Goes,"Atacante, Extremo",85,0.9476421809141365
238616,Pedro Neto,Pedro Lomba Neto,"Atacante, Extremo, Meio campo",77,0.9460002001832077
271400,Igor Paixão,Igor Guilherme Barbosa da Paixão,Extremo,77,0.9457481036056258
202652,R. Sterling,Raheem Sterling,"Atacante, Extremo",83,0.9429375831952356
255475,Antony,Antony Matheus dos Santos,"Extremo, Meio campo",81,0.9389297713284074
216258,I. Bebou,Ihlas Bebou,"Atacante, Extremo, Meio campo",77,0.937926163405901
224458,Diogo Jota,Diogo José Teixeira da Silva,"Atacante, Extremo",85,0.9373464246471589
241461,Ferran Torres,Ferran Torres García,"Atacante, Extremo",82,0.9358392173037235
231443,O. Dembélé,Ousmane Dembélé,Extremo,86,0.9353935457904831
210935,D. Berardi,Domenico Berardi,"Extremo, Meio campo",85,0.934688704182161
190871,Neymar Jr,Neymar da Silva Santos Júnior,Extremo,89,0.93277313633258
231747,K. Mbappé,Kylian Mbappé Lottin,"Atacante, Extremo",91,0.9299825740562327
229575,D. Mancini,Daniel Mancini,"Extremo, Meio campo",74,0.9262513724025045
237681,T. Kubo,久保 建英,"Atacante, Extremo, Meio campo",80,0.9253004961767338
