Nome,Posição,Overall,Similaridade
F. Chiesa,"Extremo, Meio campo",84,0.9785532016848105
L. Díaz,"Extremo, Meio campo",84,0.9781953006579931
M. Rashford,"Atacante, Extremo, Meio campo",85,0.9774145789046869
Rafael Leão,"Atacante, Extremo",86,0.9725571337022437
M. Salah,Extremo,89,0.9716160278832451
H. Barnes,"Extremo, Meio campo",80,0.966715289443663
S. Chukwueze,"Extremo, Meio campo",81,0.9661256071482212
M. Zaccagni,Extremo,82,0.9581299733939226
L. Bailey,"Atacante, Extremo, Meio campo",79,0.9574870484601374
I. Bebou,"Atacante, Extremo, Meio campo",77,0.9569144446293529
H. Lozano,Extremo,81,0.9547285251709727
Ferran Torres,"Atacante, Extremo",82,0.9538317659760392
A. Isak,"Atacante, Extremo",81,0.9531102353223788
B. Saka,"Extremo, Meio campo",86,0.9525499552476745
H. Son,Extremo,87,0.9510438163950992
D. Berardi,"Extremo, Meio campo",85,0.9474890506609212
A. Saint-Maximin,"Extremo, Meio campo",81,0.9459662091882534
M. Depay,"Atacante, Extremo",84,0.9442574012283104
A. Lookman,"Atacante, Extremo, Meio campo",81,0.9410189194962821
S. Palacios,Extremo,75,0.9391871833349053
N. González,Extremo,81,0.9378912130032735
A. Boupendza,"Atacante, Extremo, Meio campo",76,0.9360237435605331
R. Sterling,"Atacante, Extremo",83,0.9353876434247413
C. Gakpo,"Atacante, Extremo",83,0.9353532461960354
Rodrygo,"Atacante, Extremo",85,0.9340646926960794
K. Toko Ekambi,"Atacante, Extremo, Meio campo",76,0.9312608263165071
Vini Jr.,Extremo,89,0.9299825740562326
Nuno Santos,"Ala, Extremo",80,0.9288733182376777
N. Lang,Extremo,78,0.9285811591171259
B. Ramselaar,"Extremo, Meio campo",73,0.9281217087455187
M. Kudus,"Extremo, Meio campo",79,0.9258913780720444
Neymar Jr,Extremo,89,0.9248964440506725
K. Kvaratskhelia,Extremo,86,0.9238251168706783
Pedro Neto,"Atacante, Extremo, Meio campo",77,0.9225545815982743
Raphinha,Extremo,84,0.9223605415624202
N. Pépé,"Extremo, Meio campo",78,0.9216638134817261
Gabriel Martinelli,"Extremo, Meio campo",84,0.9208975569139295
David Neres,"Extremo, Meio campo",80,0.9205200310484586
D. Mancini,"Extremo, Meio campo",74,0.9205192364351829
S. Bergwijn,Extremo,79,0.9181970123067343
Davidson,"Atacante, Extremo",76,0.9178199534288461
Y. Wissa,"Atacante, Extremo",77,0.917295791940377
O. Dembélé,Extremo,86,0.9166060377856855
L. Trossard,"Atacante, Extremo",81,0.9146927475453264
L. Haraslín,"Extremo, Meio campo",76,0.9125285375828974
João Félix,"Atacante, Extremo",81,0.9124384116586873
P. Zinckernagel,"Atacante, Extremo, Meio campo",74,0.9122637100003295
Gabriel Jesus,"Atacante, Extremo",84,0.9122601622995158
I. Sarr,"Extremo, Meio campo",76,0.9115060265912034
J. Cuadrado,"Extremo, Lateral, Meio campo",80,0.9101547923405089
Ai Kesen,"Atacante, Extremo",76,0.9097307694528994
Marco Asensio,Extremo,83,0.9090253692824712
Felipe Anderson,"Atacante, Extremo",81,0.9079077690075253
T. Kubo,"Atacante, Extremo, Meio campo",80,0.9077827350611742
Diogo Jota,"Atacante, Extremo",85,0.9071268285647693
S. Mavididi,"Atacante, Extremo",76,0.9063021559003134
