Nome,Posição,Overall,Similaridade
Marquinhos,Zagueiro,87,0.9732923943393301
R. Araujo,"Lateral, Zagueiro",86,0.9715463390732617
Mario Hermoso,Zagueiro,82,0.9688316874532725
P. Kalulu,"Lateral, Zagueiro",78,0.9680754907945708
N. Mukiele,"Ala, Lateral, Zagueiro",79,0.9673826284000274
Bremer,Zagueiro,84,0.9666589583441393
Reinildo,"Lateral, Zagueiro",81,0.9661947509641645
Gonçalo Inácio,Zagueiro,79,0.9646832949416866
R. Varane,Zagueiro,85,0.9639534267879544
J. Gradit,Zagueiro,78,0.9627404384868986
N. Schlotterbeck,Zagueiro,83,0.96227850628308
P. Kimpembe,Zagueiro,82,0.962082631588042
N. Casale,Zagueiro,79,0.9618972253295106
J. Koundé,"Lateral, Zagueiro",85,0.9611846804764992
J. Gvardiol,"Lateral, Zagueiro",82,0.9594946539249964
Pau Torres,Zagueiro,83,0.9569878429130684
N. Aké,"Lateral, Zagueiro",81,0.9564734228123934
F. Gattoni,Zagueiro,74,0.9539830091728254
Danilo,"Lateral, Zagueiro",81,0.9538568477507662
A. Szalai,Zagueiro,76,0.9537862529188565
C. Mbemba,Zagueiro,80,0.9534685408444854
J. Foyth,"Lateral, Volante, Zagueiro",80,0.9525300692616973
Tiago Djaló,Zagueiro,76,0.9518581681019659
P. Hincapié,Zagueiro,79,0.9515103515043661
M. Simakan,"Lateral, Zagueiro",79,0.9496937382413672
A. Bastoni,Zagueiro,85,0.947566880039715
F. Tomori,Zagueiro,84,0.9471248597909547
V. van Dijk,Zagueiro,89,0.9461504786158729
L. Hernández,"Lateral, Zagueiro",84,0.945471498200728
Kim Min Jae,Zagueiro,84,0.9449806869492249
W. Saliba,Zagueiro,83,0.9443968399247025
E. Konsa,Zagueiro,79,0.9442373877519434
E. Can,"Volante, Zagueiro",83,0.9441773223408274
K. Itakura,"Volante, Zagueiro",77,0.9439576781117548
N. Figal,"Lateral, Zagueiro",76,0.9433457985945253
F. Medina,Zagueiro,80,0.9420310499411599
C. Lukeba,Zagueiro,77,0.9416352247931301
A. Rüdiger,Zagueiro,85,0.9393210338248007
Matheus Reis,"Ala, Lateral, Zagueiro",79,0.9390279933096071
R. Bensebaini,"Lateral, Zagueiro",80,0.9389836953382669
Francés,Zagueiro,73,0.9381930761430355
L. Martínez,Zagueiro,84,0.9379954984203792
M. Niakhaté,Zagueiro,77,0.9376097530408506
D. Vida,Zagueiro,75,0.9376055636696443
K. Koulibaly,Zagueiro,84,0.9375707248274745
B. Pavard,"Lateral, Zagueiro",83,0.9371109724913155
M. Haïdara,"Ala, Zagueiro",76,0.9369758394182943
Gabriel,Zagueiro,84,0.9365542423913354
C. Romero,Zagueiro,82,0.9355246492997489
J. Todibo,Zagueiro,79,0.9349170384537198
D. Alaba,"Lateral, Zagueiro",85,0.9341775324137458
B. White,"Lateral, Zagueiro",80,0.933097046486163
E. Pinnock,Zagueiro,79,0.9328655479792975
J. Teze,"Lateral, Zagueiro",76,0.9326177651464009
M. de Roon,"Meio campo, Volante, Zagueiro",80,0.9323088074464345
Iñigo Martínez,Zagueiro,82,0.9322118975976711
Eric Curbelo,"Lateral, Zagueiro",76,0.930398020355969
D. Upamecano,Zagueiro,82,0.929621545310589
Nacho Fernández,"Lateral, Zagueiro",83,0.928584203622601
Pepe,Zagueiro,81,0.9281609801209759
B. Godfrey,"Lateral, Zagueiro",75,0.9279615898285475
J. Šutalo,Zagueiro,79,0.9278901528596722
L. Geertruida,"Lateral, Volante, Zagueiro",79,0.9278872635417413
M. Thiaw,Zagueiro,77,0.9277784332773287
L. Klostermann,"Lateral, Zagueiro",79,0.9276313769769489
N. Aguerd,Zagueiro,79,0.9272493028812235
J. Gomez,"Lateral, Zagueiro",79,0.9263570543922109
M. Akanji,Zagueiro,82,0.9259741340176196
W. Fofana,Zagueiro,79,0.9247955337645689
L. González Pirez,Zagueiro,77,0.9243325442820624
Y. Ndayishimiye,"Meio campo, Volante, Zagueiro",75,0.9241955822426305
D. Hancko,"Lateral, Zagueiro",80,0.9238505185964284
T. Kehrer,"Lateral, Zagueiro",76,0.9234994884780389
D. Djené,"Volante, Zagueiro",77,0.9230454162335451
Rafael Tolói,Zagueiro,80,0.9227939575409102
Luan Peres,"Lateral, Zagueiro",76,0.9216317820058405
R. Tapia,"Meio campo, Volante, Zagueiro",78,0.9205800449260513
B. Schenkeveld,Zagueiro,75,0.9201059786412252
J. Kiwior,"Volante, Zagueiro",74,0.9199739888654409
N. Otamendi,Zagueiro,82,0.9199140905764807
Josué Chiamulera,Zagueiro,82,0.9191829897613242
Víctor Díaz,"Lateral, Volante, Zagueiro",75,0.9182974027924528
E. Álvarez,"Volante, Zagueiro",81,0.9178351701894398
António Silva,Zagueiro,78,0.9171301197887494
Zubeldia,Zagueiro,80,0.9158750863368788
I. Konaté,Zagueiro,81,0.9153237711317543
M. Wöber,"Lateral, Zagueiro",76,0.9151264511858892
J. Angulo,"Ala, Lateral, Zagueiro",74,0.9143807569007123
M. de Ligt,Zagueiro,86,0.9143299223535548
L. Sigali,Zagueiro,75,0.9138967610536829
T. Iwata,"Volante, Zagueiro",72,0.9134842458328162
Marc Bartra,Zagueiro,79,0.9126949170253205
Tuta,Zagueiro,76,0.9125733631156688
Patric,Zagueiro,76,0.9125515233850442
N. Stark,"Volante, Zagueiro",74,0.9125039397010366
D. Doekhi,Zagueiro,78,0.9124871138906777
T. Hübers,Zagueiro,77,0.9106434307659406
E. Tapsoba,Zagueiro,81,0.9101354391972677
Rúben Vezo,"Lateral, Zagueiro",73,0.9100479017484732
M. Tisserand,"Lateral, Zagueiro",74,0.9087790939010303
